City,Item,Year,Unit_Cost_NGN,Region,Cost_Category
Lagos,Cement (50kg bag),2023,3800,South West,Material
Lagos,Cement (50kg bag),2024,6800,South West,Material
Lagos,Cement (50kg bag),2025,9800,South West,Material
Abuja,Cement (50kg bag),2023,4200,North Central,Material
Abuja,Cement (50kg bag),2024,7000,North Central,Material
Abuja,Cement (50kg bag),2025,10200,North Central,Material
Port Harcourt,Cement (50kg bag),2023,4000,South South,Material
Port Harcourt,Cement (50kg bag),2024,6500,South South,Material
Port Harcourt,Cement (50kg bag),2025,9500,South South,Material
Ibadan,Cement (50kg bag),2023,3500,South West,Material
Ibadan,Cement (50kg bag),2024,6200,South West,Material
Ibadan,Cement (50kg bag),2025,9000,South West,Material
Ogun,Cement (50kg bag),2023,3600,South West,Material
Ogun,Cement (50kg bag),2024,6300,South West,Material
Ogun,Cement (50kg bag),2025,9100,South West,Material
Kano,Cement (50kg bag),2023,3400,North West,Material
Kano,Cement (50kg bag),2024,6000,North West,Material
Kano,Cement (50kg bag),2025,8800,North West,Material
Enugu,Cement (50kg bag),2023,3700,South East,Material
Enugu,Cement (50kg bag),2024,6400,South East,Material
Enugu,Cement (50kg bag),2025,9300,South East,Material
Kaduna,Cement (50kg bag),2023,3300,North West,Material
Kaduna,Cement (50kg bag),2024,5900,North West,Material
Kaduna,Cement (50kg bag),2025,8600,North West,Material
Benin City,Cement (50kg bag),2023,3600,South South,Material
Benin City,Cement (50kg bag),2024,6300,South South,Material
Benin City,Cement (50kg bag),2025,9200,South South,Material
Owerri,Cement (50kg bag),2023,3700,South East,Material
Owerri,Cement (50kg bag),2024,6500,South East,Material
Owerri,Cement (50kg bag),2025,9400,South East,Material
Lagos,Concrete Blocks (9-inch),2023,600,South West,Material
Lagos,Concrete Blocks (9-inch),2024,800,South West,Material
Lagos,Concrete Blocks (9-inch),2025,950,South West,Material
Abuja,Concrete Blocks (9-inch),2023,550,North Central,Material
Abuja,Concrete Blocks (9-inch),2024,750,North Central,Material
Abuja,Concrete Blocks (9-inch),2025,880,North Central,Material
Port Harcourt,Concrete Blocks (9-inch),2023,520,South South,Material
Port Harcourt,Concrete Blocks (9-inch),2024,720,South South,Material
Port Harcourt,Concrete Blocks (9-inch),2025,850,South South,Material
Ibadan,Concrete Blocks (9-inch),2023,480,South West,Material
Ibadan,Concrete Blocks (9-inch),2024,680,South West,Material
Ibadan,Concrete Blocks (9-inch),2025,800,South West,Material
Ogun,Concrete Blocks (9-inch),2023,500,South West,Material
Ogun,Concrete Blocks (9-inch),2024,700,South West,Material
Ogun,Concrete Blocks (9-inch),2025,820,South West,Material
Kano,Concrete Blocks (9-inch),2023,450,North West,Material
Kano,Concrete Blocks (9-inch),2024,650,North West,Material
Kano,Concrete Blocks (9-inch),2025,780,North West,Material
Enugu,Concrete Blocks (9-inch),2023,470,South East,Material
Enugu,Concrete Blocks (9-inch),2024,670,South East,Material
Enugu,Concrete Blocks (9-inch),2025,800,South East,Material
Kaduna,Concrete Blocks (9-inch),2023,440,North West,Material
Kaduna,Concrete Blocks (9-inch),2024,640,North West,Material
Kaduna,Concrete Blocks (9-inch),2025,760,North West,Material
Benin City,Concrete Blocks (9-inch),2023,480,South South,Material
Benin City,Concrete Blocks (9-inch),2024,680,South South,Material
Benin City,Concrete Blocks (9-inch),2025,810,South South,Material
Owerri,Concrete Blocks (9-inch),2023,490,South East,Material
Owerri,Concrete Blocks (9-inch),2024,690,South East,Material
Owerri,Concrete Blocks (9-inch),2025,820,South East,Material
Lagos,Steel Bars (per kg),2023,480,South West,Material
Lagos,Steel Bars (per kg),2024,700,South West,Material
Lagos,Steel Bars (per kg),2025,1050,South West,Material
Abuja,Steel Bars (per kg),2023,490,North Central,Material
Abuja,Steel Bars (per kg),2024,710,North Central,Material
Abuja,Steel Bars (per kg),2025,1060,North Central,Material
Port Harcourt,Steel Bars (per kg),2023,470,South South,Material
Port Harcourt,Steel Bars (per kg),2024,690,South South,Material
Port Harcourt,Steel Bars (per kg),2025,1040,South South,Material
Ibadan,Steel Bars (per kg),2023,450,South West,Material
Ibadan,Steel Bars (per kg),2024,670,South West,Material
Ibadan,Steel Bars (per kg),2025,1020,South West,Material
Ogun,Steel Bars (per kg),2023,460,South West,Material
Ogun,Steel Bars (per kg),2024,680,South West,Material
Ogun,Steel Bars (per kg),2025,1030,South West,Material
Kano,Steel Bars (per kg),2023,440,North West,Material
Kano,Steel Bars (per kg),2024,660,North West,Material
Kano,Steel Bars (per kg),2025,1000,North West,Material
Enugu,Steel Bars (per kg),2023,460,South East,Material
Enugu,Steel Bars (per kg),2024,675,South East,Material
Enugu,Steel Bars (per kg),2025,1020,South East,Material
Kaduna,Steel Bars (per kg),2023,430,North West,Material
Kaduna,Steel Bars (per kg),2024,650,North West,Material
Kaduna,Steel Bars (per kg),2025,990,North West,Material
Benin City,Steel Bars (per kg),2023,455,South South,Material
Benin City,Steel Bars (per kg),2024,670,South South,Material
Benin City,Steel Bars (per kg),2025,1010,South South,Material
Owerri,Steel Bars (per kg),2023,465,South East,Material
Owerri,Steel Bars (per kg),2024,680,South East,Material
Owerri,Steel Bars (per kg),2025,1025,South East,Material
Lagos,Sand (per ton),2023,4500,South West,Material
Lagos,Sand (per ton),2024,6500,South West,Material
Lagos,Sand (per ton),2025,8000,South West,Material
Abuja,Sand (per ton),2023,4200,North Central,Material
Abuja,Sand (per ton),2024,6200,North Central,Material
Abuja,Sand (per ton),2025,7800,North Central,Material
Port Harcourt,Sand (per ton),2023,4000,South South,Material
Port Harcourt,Sand (per ton),2024,6000,South South,Material
Port Harcourt,Sand (per ton),2025,7500,South South,Material
Ibadan,Sand (per ton),2023,3500,South West,Material
Ibadan,Sand (per ton),2024,5500,South West,Material
Ibadan,Sand (per ton),2025,7000,South West,Material
Ogun,Sand (per ton),2023,3600,South West,Material
Ogun,Sand (per ton),2024,5600,South West,Material
Ogun,Sand (per ton),2025,7100,South West,Material
Kano,Sand (per ton),2023,3200,North West,Material
Kano,Sand (per ton),2024,5200,North West,Material
Kano,Sand (per ton),2025,6800,North West,Material
Enugu,Sand (per ton),2023,3700,South East,Material
Enugu,Sand (per ton),2024,5700,South East,Material
Enugu,Sand (per ton),2025,7200,South East,Material
Kaduna,Sand (per ton),2023,3100,North West,Material
Kaduna,Sand (per ton),2024,5100,North West,Material
Kaduna,Sand (per ton),2025,6600,North West,Material
Benin City,Sand (per ton),2023,3600,South South,Material
Benin City,Sand (per ton),2024,5600,South South,Material
Benin City,Sand (per ton),2025,7100,South South,Material
Owerri,Sand (per ton),2023,3800,South East,Material
Owerri,Sand (per ton),2024,5800,South East,Material
Owerri,Sand (per ton),2025,7300,South East,Material
Lagos,Granite (per ton),2023,5500,South West,Material
Lagos,Granite (per ton),2024,7500,South West,Material
Lagos,Granite (per ton),2025,9500,South West,Material
Abuja,Granite (per ton),2023,5200,North Central,Material
Abuja,Granite (per ton),2024,7200,North Central,Material
Abuja,Granite (per ton),2025,9200,North Central,Material
Port Harcourt,Granite (per ton),2023,6000,South South,Material
Port Harcourt,Granite (per ton),2024,8000,South South,Material
Port Harcourt,Granite (per ton),2025,10000,South South,Material
Ibadan,Granite (per ton),2023,5000,South West,Material
Ibadan,Granite (per ton),2024,7000,South West,Material
Ibadan,Granite (per ton),2025,9000,South West,Material
Ogun,Granite (per ton),2023,5100,South West,Material
Ogun,Granite (per ton),2024,7100,South West,Material
Ogun,Granite (per ton),2025,9100,South West,Material
Kano,Granite (per ton),2023,4500,North West,Material
Kano,Granite (per ton),2024,6500,North West,Material
Kano,Granite (per ton),2025,8500,North West,Material
Enugu,Granite (per ton),2023,5200,South East,Material
Enugu,Granite (per ton),2024,7200,South East,Material
Enugu,Granite (per ton),2025,9200,South East,Material
Kaduna,Granite (per ton),2023,4400,North West,Material
Kaduna,Granite (per ton),2024,6400,North West,Material
Kaduna,Granite (per ton),2025,8400,North West,Material
Benin City,Granite (per ton),2023,5100,South South,Material
Benin City,Granite (per ton),2024,7100,South South,Material
Benin City,Granite (per ton),2025,9100,South South,Material
Owerri,Granite (per ton),2023,5300,South East,Material
Owerri,Granite (per ton),2024,7300,South East,Material
Owerri,Granite (per ton),2025,9300,South East,Material
Lagos,Formwork (per m²),2023,1800,South West,Material
Lagos,Formwork (per m²),2024,2800,South West,Material
Lagos,Formwork (per m²),2025,3800,South West,Material
Abuja,Formwork (per m²),2023,1700,North Central,Material
Abuja,Formwork (per m²),2024,2700,North Central,Material
Abuja,Formwork (per m²),2025,3700,North Central,Material
Port Harcourt,Formwork (per m²),2023,1600,South South,Material
Port Harcourt,Formwork (per m²),2024,2600,South South,Material
Port Harcourt,Formwork (per m²),2025,3600,South South,Material
Ibadan,Formwork (per m²),2023,1500,South West,Material
Ibadan,Formwork (per m²),2024,2500,South West,Material
Ibadan,Formwork (per m²),2025,3400,South West,Material
Ogun,Formwork (per m²),2023,1500,South West,Material
Ogun,Formwork (per m²),2024,2500,South West,Material
Ogun,Formwork (per m²),2025,3400,South West,Material
Kano,Formwork (per m²),2023,1400,North West,Material
Kano,Formwork (per m²),2024,2400,North West,Material
Kano,Formwork (per m²),2025,3200,North West,Material
Enugu,Formwork (per m²),2023,1500,South East,Material
Enugu,Formwork (per m²),2024,2500,South East,Material
Enugu,Formwork (per m²),2025,3400,South East,Material
Kaduna,Formwork (per m²),2023,1300,North West,Material
Kaduna,Formwork (per m²),2024,2300,North West,Material
Kaduna,Formwork (per m²),2025,3100,North West,Material
Benin City,Formwork (per m²),2023,1500,South South,Material
Benin City,Formwork (per m²),2024,2500,South South,Material
Benin City,Formwork (per m²),2025,3400,South South,Material
Owerri,Formwork (per m²),2023,1550,South East,Material
Owerri,Formwork (per m²),2024,2550,South East,Material
Owerri,Formwork (per m²),2025,3500,South East,Material
Lagos,Daily Labour,2023,2500,South West,Labour
Lagos,Daily Labour,2024,3500,South West,Labour
Lagos,Daily Labour,2025,5000,South West,Labour
Abuja,Daily Labour,2023,2500,North Central,Labour
Abuja,Daily Labour,2024,3500,North Central,Labour
Abuja,Daily Labour,2025,5000,North Central,Labour
Port Harcourt,Daily Labour,2023,2300,South South,Labour
Port Harcourt,Daily Labour,2024,3300,South South,Labour
Port Harcourt,Daily Labour,2025,4800,South South,Labour
Ibadan,Daily Labour,2023,2000,South West,Labour
Ibadan,Daily Labour,2024,3000,South West,Labour
Ibadan,Daily Labour,2025,4500,South West,Labour
Ogun,Daily Labour,2023,2000,South West,Labour
Ogun,Daily Labour,2024,3000,South West,Labour
Ogun,Daily Labour,2025,4500,South West,Labour
Kano,Daily Labour,2023,1800,North West,Labour
Kano,Daily Labour,2024,2800,North West,Labour
Kano,Daily Labour,2025,4200,North West,Labour
Enugu,Daily Labour,2023,2000,South East,Labour
Enugu,Daily Labour,2024,3000,South East,Labour
Enugu,Daily Labour,2025,4500,South East,Labour
Kaduna,Daily Labour,2023,1800,North West,Labour
Kaduna,Daily Labour,2024,2800,North West,Labour
Kaduna,Daily Labour,2025,4200,North West,Labour
Benin City,Daily Labour,2023,2000,South South,Labour
Benin City,Daily Labour,2024,3000,South South,Labour
Benin City,Daily Labour,2025,4500,South South,Labour
Owerri,Daily Labour,2023,2100,South East,Labour
Owerri,Daily Labour,2024,3100,South East,Labour
Owerri,Daily Labour,2025,4600,South East,Labour
